project_url,n_dev,truck_factor,gini_commits,proj_failed
https://github.com/datamllab/rlcard.git,35,2,0.8083538083538084,1
https://github.com/ddbourgin/numpy-ml.git,15,1,0.842528735632184,1
https://github.com/deepfakes/faceswap.git,53,3,0.7291070475820924,1
https://github.com/deepmedic/deepmedic.git,7,1,0.7971781305114638,1
https://github.com/deepmind/dm-haiku.git,79,3,0.8016530002998343,1
https://github.com/deepmind/open_spiel.git,144,4,0.8270837544639849,1
https://github.com/deepmind/sonnet.git,43,2,0.8022674418604652,1
https://github.com/deepmipt/DeepPavlov.git,56,3,0.8419715447154472,1
https://github.com/deepset-ai/FARM.git,29,2,0.7875331564986736,1
https://github.com/deezer/spleeter.git,18,1,0.7724923655156213,1
https://github.com/digantamisra98/Mish.git,4,1,0.7483606557377049,0
https://github.com/dmlc/dgl.git,39,3,0.7471857410881801,1
https://github.com/drscotthawley/panotti.git,3,1,0.6102941176470589,1
https://github.com/dsgiitr/d2l-pytorch.git,25,1,0.7327659574468084,1
https://github.com/dwadden/dygiepp.git,4,1,0.5770676691729324,1
https://github.com/eladhoffer/convNet.pytorch.git,3,1,0.650103519668737,1
https://github.com/eleurent/rl-agents.git,10,1,0.8822109275730621,1
https://github.com/elifesciences/sciencebeam.git,2,1,0.33529411764705874,1
https://github.com/eth-sri/eran.git,20,3,0.6908080808080808,1
https://github.com/evilsocket/pwnagotchi.git,58,3,0.7744655709528414,1
https://github.com/explosion/prodigy-recipes.git,17,3,0.6296918767507003,1
https://github.com/explosion/spacy-transformers.git,15,2,0.8057553956834533,1
https://github.com/f-dangel/backpack.git,8,1,0.7614468864468864,1
https://github.com/facebookresearch/ClassyVision.git,78,3,0.7366910866910867,1
https://github.com/facebookresearch/CrypTen.git,12,2,0.5679487179487179,1
https://github.com/facebookresearch/EGG.git,25,1,0.8687567567567567,1
https://github.com/facebookresearch/ParlAI.git,131,4,0.8805199543699158,1
https://github.com/facebookresearch/ReAgent.git,167,4,0.8377364377943866,0
https://github.com/facebookresearch/habitat-api.git,22,2,0.6836861768368618,1
https://github.com/facebookresearch/mmf.git,120,2,0.8211538461538461,0
https://github.com/facebookresearch/nevergrad.git,55,2,0.8990194449060995,1
https://github.com/facebookresearch/pyrobot.git,3,1,0.6000000000000001,1
https://github.com/facebookresearch/pytext.git,103,8,0.7217957401971853,1
https://github.com/facebookresearch/vilbert-multi-task.git,6,1,0.6751412429378529,1
https://github.com/fastai/fastai.git,123,2,0.8249893025246042,1
https://github.com/fastnlp/fastNLP.git,19,2,0.7342389978036281,1
https://github.com/faustomorales/keras-ocr.git,3,1,0.6095238095238096,1
https://github.com/fbcotter/pytorch_wavelets.git,1,1,0.0,1
https://github.com/feedly/transfer-nlp.git,4,1,0.6444444444444444,1
https://github.com/fepegar/torchio.git,2,1,0.4870129870129871,1
https://github.com/firmai/datagene.git,2,1,0.27142857142857135,1
https://github.com/fizyr/keras-retinanet.git,12,1,0.8123145400593472,1
https://github.com/flairNLP/flair.git,215,1,0.8820962477301397,1
https://github.com/flatironinstitute/CaImAn.git,55,2,0.8833443928334441,1
https://github.com/frankkramer-lab/MIScnn.git,9,1,0.8158177519879648,1
https://github.com/freewym/espresso.git,378,6,0.7737757745988199,1
https://github.com/funcwj/setk.git,2,1,0.49598393574297184,1
https://github.com/geomstats/geomstats.git,92,4,0.8212678227759038,0
https://github.com/geoopt/geoopt.git,3,1,0.6468646864686469,1
https://github.com/geyang/ml_logger.git,5,1,0.7715302491103204,1
https://github.com/gjy3035/C-3-Framework.git,6,1,0.7406015037593985,1
https://github.com/google-research/google-research.git,828,57,0.6601644312419359,0
